chroma_stft,chroma_cqt,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Label
0.49428338,0.55923986,0.2666094,3.4627538,0.068630904,1258.207614800069,1924.4936560925291,20.915848197856928,3.0640644e-05,2423.7648607336955,0.021665534420289855,0.11254646317393403,(0.3177865445613861+0.020962020382285118j),-407.08215,87.073685,27.093756,3.0357585,-12.717261,-0.45290387,2.7908657,-9.811365,-7.848373,-5.5701194,-7.0435853,-3.2412524,1.0210046,-2.7454138,-0.9390719,4.227638,0.17454612,2.7061985,5.2513924,3.038529,4.022295,0.13910694,-3.1592271,-2.1916397,-1.0690261,-1.4592143,-2.6093273,-2.9412777,-3.725104,-0.90231466,-0.9709652,-2.995337,-0.02395988,-0.36032823,-0.17127593,0.3809577,-0.9778055,-0.13354975,-1.8231014,-1.1640491,101415-3-0-2.wav
0.4221052,0.562016,0.2713826,3.1305377,0.07667717,1077.1235495564254,1650.6685726876087,22.700130309671437,2.6787995e-05,1814.4688349184783,0.021426347373188406,0.13337013769202524,(0.438923716545105-0.004362398758530617j),-381.4011,118.64173,42.194027,4.9039116,-22.366428,-3.790971,1.355707,-18.259398,-16.748001,-15.107259,-15.435997,-5.4224524,1.6876569,-2.9201493,1.2279973,5.5737863,-4.57682,-4.5687094,-4.0316653,-3.7062514,4.698046,1.274333,-3.3865201,-1.1075639,0.7134308,0.09271837,-1.7552674,-2.5323253,-3.5359156,0.92919797,-0.2552692,-5.3106284,-1.3023926,-1.5599815,-0.85037684,0.41904274,-2.966898,-1.3929945,-2.2913358,-1.1778996,101415-3-0-3.wav
0.57546824,0.6076404,0.27609032,2.2665231,0.044331234,1451.517441345162,2119.632589914726,18.99731254347075,5.7692312e-05,2812.5484035326085,0.02653702445652174,0.07506441787986744,(0.26350143551826477-0.0036302627995610237j),-416.92896,68.55034,15.432688,5.697223,-2.0520906,4.9601474,3.0495605,-5.6907883,-2.5838609,-1.6134529,-1.3101639,0.42421955,4.127407,2.1585643,-0.7121655,1.7403611,-0.57654864,1.5618827,4.2688694,2.1606834,1.8139498,-1.5415634,-2.3537598,-0.30103582,0.5102535,0.712946,-1.4745257,-2.856189,-2.7243023,-0.9154897,-0.8054142,-1.2873939,1.2365468,1.0072205,0.42414135,-0.050348874,-1.0495882,-0.41980952,-1.8259847,-1.5454291,101415-3-0-8.wav
0.17678115,0.5295157,0.2586916,1.4918092,0.043290906,971.9240740142334,955.4647965106057,18.182232067989947,0.58262813,1823.2069463315217,0.03013756793478261,0.07971057151844795,(0.22114840149879456-0.05567563697695732j),-412.25797,71.25024,-27.271059,4.726975,-11.571905,1.605294,-1.9518155,-3.1732047,5.3599124,-4.956227,7.6876826,-0.9536986,1.6356201,8.890067,-1.9171801,4.682349,-0.23337835,-0.40140584,0.59774274,-2.3668797,1.7459582,-2.6942885,1.7771176,-0.16066696,-2.4604619,1.9440596,-2.005108,1.3807626,0.37240353,-0.08773891,1.9176284,-0.35900423,0.83175564,-1.8148267,-0.009229177,0.214156,-1.1117531,0.22635044,-2.1757042,0.94195735,102106-3-0-0.wav
0.4147163,0.5949366,0.2669163,0.8067705,0.035644546,1015.464031469278,1454.2263808754367,15.33408517889929,0.34501475,2011.700492527174,0.018250396286231884,0.13103543291944586,(0.2406350076198578-0.037816811352968216j),-422.50812,101.190125,9.70807,25.074371,-2.2440252,-0.4107368,0.7036475,-4.326625,5.323417,-0.9237494,4.1187873,1.4099858,-1.4003297,1.3620745,-1.5998324,5.3732677,4.203608,3.5840182,4.3189836,2.1512735,5.920702,3.5693288,3.7711089,3.1465018,1.5576936,2.862198,-0.23311648,1.048991,0.5975387,-0.035243157,0.8096453,-0.7790169,1.1420027,0.17491834,0.5572565,1.4503886,-0.1488319,0.8480934,0.113534644,0.60519326,102305-6-0-0.wav
0.48034352,0.69264084,0.27943456,3.5311768,0.0955142,1940.3067485798852,2713.5717541385725,20.36123476321539,1.2290223e-05,5064.796620244565,0.03317481884057971,0.27425069510793215,(0.38139447569847107+0.0004651714116334915j),-222.92183,138.30669,4.198166,58.687386,1.5330639,16.422937,10.693157,-5.258764,11.078648,-10.631724,1.9805067,-5.37169,-7.348846,0.89640695,-8.867008,4.269831,-0.21975602,5.1737137,9.3642025,3.1551886,9.4814415,-0.16894902,2.0121815,0.7315505,-2.0045357,2.6637988,-4.3615856,-0.6586951,-3.879909,-3.8700662,0.41019508,-1.8999305,4.5139627,2.2212296,4.2499533,4.776731,0.24000536,1.7605994,-3.6871295,-2.484422,102842-3-0-1.wav
0.4156956,0.6316703,0.27762815,5.0329933,0.1506635,1980.284385195741,2638.021065304678,20.957736139271244,2.434597e-05,4896.338315217391,0.035519984148550725,0.2649196580748253,(0.4012785851955414+0.0012489556102082133j),-167.73627,175.2473,-29.103611,66.42718,-17.055182,17.063526,9.447555,-12.440834,13.019751,-20.483587,6.674341,-3.2967024,-2.8697014,9.264517,-8.35358,11.238038,0.7344602,9.964614,12.986079,0.7674573,10.482888,-4.77024,1.0051291,-2.4938686,-5.4728723,1.9855238,-8.683409,-0.111294225,-6.526734,-6.100411,-1.1840663,-5.2574925,5.63154,-0.25229976,2.5304189,1.7962474,-3.3123777,1.4964398,-5.1839757,-0.11042874,102842-3-1-0.wav
0.46794882,0.6743692,0.2766621,2.220263,0.09033968,2484.770707960639,2881.952293492492,20.70648794850591,1.938484e-05,6084.971127717391,0.04951030344202899,0.24986061666963857,(0.41205593943595886-0.002710141008719802j),-186.97623,144.7549,-26.540382,57.31526,-10.751653,16.504814,9.876118,-8.5829735,15.01537,-12.287555,8.292003,-0.7987676,-1.4043823,9.052525,-4.5907483,11.625714,1.7597027,8.056524,11.265152,1.9491037,9.118349,-4.969003,-0.093431205,-2.4853148,-5.3303394,1.6043881,-7.129646,-0.6930573,-6.068222,-5.20282,0.47659877,-2.374672,6.599273,1.6038148,3.5847044,3.2238836,-1.5553164,2.3089824,-3.8992255,-0.9096395,102842-3-1-5.wav
0.48188588,0.6998551,0.27949113,1.7360567,0.07672429,2595.940972797253,2916.220414742207,20.615102527211338,6.582863e-05,6260.607167119565,0.05277258831521739,0.2522488677395271,(0.4121294319629669+0.0039460682310163975j),-200.66911,140.86717,-28.660625,56.848522,-10.960394,16.393593,10.637586,-7.235891,16.523842,-11.198204,8.503214,-0.6172198,-0.7542139,9.412338,-4.8633513,11.6675005,2.4933484,8.447826,10.738142,0.9512691,8.388262,-5.34996,-0.3598114,-2.390231,-4.9806833,1.6911668,-7.682918,-1.5131164,-6.570353,-5.4280133,0.4341658,-2.7437131,5.911446,1.3496404,3.8009932,3.887828,-0.629576,2.9168527,-3.9783921,-1.1382359,102842-3-1-6.wav
0.6256077,0.6610681,0.27738,6.6949077,0.2041841,2827.7501011272743,2557.075893200801,20.340678075593996,6.7370715e-06,5705.549847146739,0.0928031589673913,0.20850313061953302,(0.4705720543861389+0.0013985958648845553j),-83.475945,209.15198,-104.08273,89.63272,-38.737976,7.0707717,11.252638,-18.649427,23.990988,-18.281765,15.863162,-8.103378,-5.6757703,12.298538,-14.658455,13.736996,-3.738326,4.5595284,2.7712364,-10.772916,6.5093126,-11.899679,2.6008286,1.2069042,0.14985865,5.633333,-6.2170954,7.8207684,-6.9667444,0.16615751,4.681377,-5.8421226,5.9459677,-8.7471695,1.7040753,4.1894054,-3.3660727,3.3602958,-6.3678837,2.4437144,103074-7-0-0.wav
