chroma_stft,chroma_cqt,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Label
0.32429805,0.48385927,0.2616597,2.6322565,0.043062955,1377.5677872045503,1833.3754395643844,20.298390716148546,4.340675e-05,2285.7027004076085,0.032574728260869566,0.07014885361797278,(0.26721882820129395-0.010517165996134281j),-436.54446,54.269943,8.959093,-4.9544144,-14.307997,-13.396353,-15.765832,-15.835458,-9.276862,-8.9345045,-4.5248904,1.3279039,3.1373036,2.1154895,0.9481188,2.132144,2.413721,3.6192713,1.2431855,-2.3227131,-2.3781517,-4.081486,-5.2572136,-6.4976406,-6.143232,-3.8357692,-2.8432791,0.023186415,1.4287642,1.0332842,0.093817756,-2.0191488,-2.4814594,-3.0765584,-3.0443642,-2.8592901,-2.4512937,-0.42575258,-0.46802524,-0.19579922,103076-3-0-0.wav
0.27551818,0.44514185,0.25194275,5.559497,0.0853389,1271.6610979459138,1573.5748287081108,21.499778442064837,4.8540645e-05,1894.7970448369565,0.031012228260869565,0.11606163137821414,(0.4089885652065277-0.0027166451327502728j),-406.62405,83.80319,3.1450598,-20.791792,-30.437855,-23.995346,-23.847538,-22.470427,-11.354696,-11.056067,-6.598318,2.063853,4.503764,2.3888092,1.0682546,3.5586503,7.362643,10.810698,4.9043,-3.9481683,-7.9030833,-9.69045,-8.079514,-7.7897496,-4.918372,-1.665801,-2.147267,0.51955134,2.4240613,3.325626,1.5486513,-2.815326,-3.6689312,-4.2942133,-3.8647585,-3.544338,-3.1111214,-0.91150945,-0.58193964,0.7043187,103076-3-1-0.wav
0.30744162,0.49747732,0.26214844,6.1626077,0.09840435,1198.89519993149,1514.434869282018,22.787301931957607,1.5315381e-05,1738.0103600543478,0.02861328125,0.10277285310611249,(0.47004008293151855-0.005658742971718311j),-383.39764,108.82108,6.467581,-20.954296,-33.469345,-22.141287,-27.654915,-30.76562,-12.746097,-10.456936,-4.3360405,0.8133079,-2.7540503,-4.271439,-4.057007,1.1922936,7.945408,12.794062,7.15266,-2.4102197,-5.4811587,-6.498145,-8.075986,-11.358156,-7.6867385,-2.693526,-1.4728582,1.7305697,1.4128803,-0.10064515,-4.997895,-7.9350853,-3.7795835,-3.416669,-3.700788,-4.92411,-4.31495,-1.0524945,-2.1740153,-0.62169784,103076-3-2-0.wav
0.45346013,0.6170952,0.27816334,2.5039961,0.11889294,2323.42429404093,2010.22265097694,21.299678533572383,1.2148743e-05,4409.438264266304,0.07928413722826087,0.2694786088549126,(0.4088814854621887+0.0024503408931195736j),-146.53575,193.40807,-95.731636,33.83746,-22.245384,-1.7383407,12.320754,-14.9823,-2.2107139,-14.978881,17.545757,-0.19967173,-3.872733,8.829539,-13.741302,7.711853,-0.13102257,-0.79986995,8.039898,-4.458439,2.765835,-2.5821228,2.3640072,0.9136009,-4.2326083,3.5011387,0.012001148,3.7360897,-0.59454983,3.093745,4.1265173,-2.909724,5.4480824,-0.95925725,1.2444874,3.1906526,-1.2239691,5.3777604,0.84359235,2.5836356,106905-5-0-0.wav
0.46493834,0.58481354,0.27618045,3.2810082,0.13548636,2420.8289545545176,2147.038153657623,21.19189679210587,2.6251731e-05,4663.966966711957,0.0799224411231884,0.25302295119129903,(0.4144549071788788-0.00225054775364697j),-123.2607,188.45992,-92.2131,39.17473,-25.417875,-0.9030855,11.784008,-16.082462,2.2419794,-15.621261,16.93001,-0.13465138,-7.5549297,10.256096,-11.664855,6.4999065,-0.25431898,-1.6445571,8.200309,-4.343507,1.6947764,-2.643147,-0.54635775,-0.6209013,-2.219268,2.7173226,0.2729971,4.3331704,-2.2485228,3.2994478,3.8892825,-2.853166,6.4431157,-1.2395443,2.4826267,4.7302527,-0.15196946,7.205401,1.6155223,2.695215,106905-5-0-1.wav
0.51471955,0.6239576,0.2782775,3.0310276,0.13194005,2302.219825738745,2107.721084849465,20.81773491537362,9.882982e-06,4491.202021059783,0.07594259510869565,0.2685673481178222,(0.3995422422885895-0.002394407521933317j),-122.187454,194.95177,-89.223915,35.13107,-26.39103,0.0008725374,13.650402,-11.814295,3.6666214,-16.72554,15.891256,-1.8947892,-6.3553047,13.041296,-12.163581,6.5993714,-0.6243664,-2.3412933,9.541664,-7.117234,-0.063392974,-0.6069241,-1.479135,-1.2793335,-1.8687378,2.7076738,-0.37713835,3.1427221,-2.0428348,1.8931552,2.9078388,-2.4478905,6.222686,-0.041761007,2.1115942,4.0623145,-0.28923056,4.929307,0.8366904,2.353385,106905-5-0-2.wav
0.23669767,0.33057594,0.21037231,11.660566,0.25069937,1476.480929246572,1393.2358031162996,25.383085057890998,6.364657e-06,2576.806640625,0.050479789402173916,0.2627989858169125,(0.38059085607528687-3.154308797093108e-05j),-157.42667,225.27115,-69.36454,11.747173,2.031613,4.8565164,-10.014578,-14.469943,13.245064,-18.204664,-5.6876473,-0.50550985,-10.261624,-5.6089206,-8.897196,5.336301,0.8676802,2.6460836,6.763977,-0.012755662,5.194987,3.2951083,4.164723,-9.476303,-19.656136,-13.60096,-12.413839,1.3854508,5.0212083,-0.30595723,-5.044784,-1.987719,14.086169,9.784564,-2.2933486,-16.963587,-19.112171,3.7671068,15.668676,14.774937,107090-1-0-0.wav
0.25701967,0.3486358,0.21726666,7.892925,0.20051071,1432.8968323822974,1260.4753773939103,24.624196100085747,2.0003642e-06,2537.7347995923915,0.04877434329710145,0.2523219501356872,(0.3741336166858673-0.0013314018724486232j),-194.01042,224.7303,-65.956955,-1.6957091,3.5369363,-4.1602135,-14.653843,-13.259265,12.376544,-15.451982,-14.841641,-2.9727864,-7.0763383,-9.057981,-6.393961,10.9843,5.4935865,5.132938,8.979437,-0.0046653966,5.154285,7.5302353,6.950378,-4.8919697,-16.524128,-12.5766535,-11.988955,-4.155209,0.8308071,-3.0742626,-8.4091835,-5.3335342,11.517264,11.311837,-3.7474499,-19.931633,-19.308167,6.175093,18.946632,12.927185,107090-1-1-0.wav
0.3927468,0.54427415,0.26845092,8.524419,0.17019112,1098.1865948926848,1704.6462427391184,22.13628158362568,1.971499e-06,1653.999660326087,0.020827672101449275,0.1654981913335372,(0.588120698928833+0.0015070459339767694j),-239.05618,190.50534,14.822999,25.145468,-28.554865,0.43138817,24.893047,-13.098412,-11.114925,1.6960512,3.6144269,-9.37148,-1.3075621,4.2132754,-2.3121436,2.4619277,-3.41158,2.4524198,7.367825,13.729267,18.372461,3.8356085,6.323292,6.6711106,4.2474074,3.2450783,-3.7109113,1.1602646,0.05614709,-0.45903984,-3.7024121,-3.7632515,6.4534206,-0.7617629,-2.6067715,-0.9926436,-0.91586673,5.4213104,0.9179995,0.5665481,107190-3-0-0.wav
0.35993516,0.5101216,0.2728127,2.5968096,0.08930214,1624.502176049326,1638.6061828342522,23.5843422695613,6.3446555e-06,2643.341117527174,0.04825492527173913,0.12431391140755305,(0.5794664025306702-0.0025430219247937202j),-304.74536,166.69656,-30.539782,-58.691444,-38.133347,6.6633735,-15.737828,-11.565748,10.983661,1.9656802,12.790621,-15.79906,-12.547565,10.353208,-4.835198,4.7093635,1.926025,-1.8485136,6.9706845,5.4924784,7.6356497,1.4804689,0.5244774,2.7290053,0.13862678,0.6139809,2.2151005,2.4426744,2.271436,6.7606177,1.1060557,2.4652467,4.867044,-4.222778,3.363056,2.0095742,1.0096687,6.0097237,-1.0272946,2.2739732,110134-3-0-0.wav
