chroma_stft,chroma_cqt,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Label
0.3550939,0.62859255,0.27436864,2.4461527,0.090504885,1841.2076831905067,1744.8147104247196,20.322628161069414,0.22029287,3300.322265625,0.05681895380434782,0.14419255747789,(0.43939265608787537-0.038831926882267j),-253.40881,145.9657,-60.887783,19.030754,-19.747671,1.5604774,-6.0004544,-6.8485937,10.840956,-15.558782,13.262046,-1.3902322,-0.762849,13.376243,-6.877275,6.182814,-1.9801098,-0.65458065,0.4468649,-5.0091624,2.53517,-5.855804,5.3019595,0.5639261,-2.2895746,6.494319,-3.4624689,2.4175003,-2.6140208,-2.45525,2.8787453,-2.3728867,1.7872008,-2.1906126,1.5066514,0.44854236,-1.9991254,2.1463506,-3.1877177,1.8720287,102102-3-0-0.wav
0.24476387,0.48329255,0.26092243,7.894195,0.18598208,2514.5202968301865,2375.8541982380916,23.00090102785419,8.846875e-06,5060.67722486413,0.06353175951086956,0.27344308812838297,(0.37897613644599915-0.00047028640983626246j),-126.08425,167.63397,-76.88171,37.018494,-31.384193,2.931376,16.146357,-7.638809,6.150376,-8.602503,25.295027,0.13537261,-2.6471593,6.4941454,-19.5544,6.7785063,-2.5468664,4.3825364,14.654982,-4.2565813,7.936057,3.0303173,1.3475035,-6.7596483,-9.945931,4.0576167,-0.51724917,4.926425,2.7938845,4.9180818,5.8983793,-5.204763,0.111176245,-2.117592,-1.1386769,0.4418564,3.388121,7.459,-1.6768535,0.49233478,107653-9-0-12.wav
0.4128325,0.61680835,0.27467272,2.135502,0.11501926,2947.727335225804,2540.544630710398,21.538294636996337,2.8793933e-05,5741.313688858696,0.09702077672101449,0.25733796740210474,(0.39736056327819824+0.004275745712220669j),-136.83264,178.8774,-98.42849,55.60189,-36.98418,13.508289,22.724,-11.689816,8.763935,-16.505999,24.684998,-3.616877,-0.45636463,16.334957,-16.434143,11.480931,-5.528342,1.9870751,12.716841,-8.078738,7.1177154,-0.70120144,4.7890315,-0.18676616,-6.235967,3.4050314,-4.5054836,3.2662816,-3.297899,0.4708614,4.697146,-3.141013,5.2374916,-0.7110214,4.176372,2.013658,-2.029738,4.244803,-1.702648,4.6190395,107653-9-0-14.wav
0.2647224,0.48166037,0.2649324,3.3535736,0.13502721,2877.4160666360945,2586.9299110104707,22.93370711583421,1.0556478e-05,5785.25390625,0.07596948596014493,0.2706962809863634,(0.37106212973594666+0.0005713598220609128j),-142.44403,176.05875,-92.4793,51.130966,-43.747463,10.129563,21.211514,-9.54403,16.123884,-9.371302,25.62774,-5.4814186,-3.0565596,10.053612,-22.22949,13.075636,-1.2857155,5.211556,16.750685,-5.665378,10.31515,-0.33180135,-4.8901787,-9.986679,-6.6814795,8.565436,-0.77820003,5.655056,1.1469975,2.9802914,1.443151,-9.722857,0.2548092,-4.264974,1.2137758,5.8303914,6.3955445,7.586053,-4.441611,0.559992,107653-9-0-18.wav
0.55692863,0.5496602,0.26930445,3.2916625,0.14432767,2392.9090250213194,2161.1794960081443,21.330172368197942,1.3628031e-05,4674.639945652174,0.07990687273550724,0.27156173166247943,(0.38210785388946533+0.0005236352444626391j),-120.47548,209.60172,-107.92815,51.35994,-28.679337,7.8250875,16.361298,-12.023932,10.493587,-10.270619,26.354187,-7.1892147,-3.9213767,17.3727,-12.205209,12.969504,-4.461651,1.8554012,11.986068,-5.626884,7.27973,-3.482936,5.30427,2.012802,-3.445086,6.883229,-4.356728,2.777074,-3.5177884,-0.15293159,6.2172613,-2.8973055,5.928905,0.54317766,2.625692,2.3960226,-1.192244,2.2524693,-4.905748,1.5325649,107653-9-0-3.wav
0.5094472,0.55750835,0.27204382,5.1177506,0.18606672,2602.2639019930157,2223.659614578251,21.531165682954782,2.602203e-05,4872.807829483696,0.09125764266304348,0.2832530460080138,(0.37678617238998413-0.0006652683950960636j),-88.160904,198.42645,-109.626945,51.109104,-28.063705,7.9848747,15.696435,-12.893339,8.541901,-9.855347,28.724298,-10.235718,-8.789004,16.189196,-13.358795,13.367956,-3.5029156,0.93357545,11.652068,-7.5651793,6.4954767,-2.242222,4.2522035,1.3620361,-4.134164,6.035242,-4.2826247,2.5259602,-2.1750832,0.4298339,5.74968,-1.8557911,6.1877475,1.2853733,4.8956704,3.3865168,-1.2162108,2.9979348,-4.35009,1.6166196,107653-9-0-5.wav
0.41097736,0.60856074,0.27371714,7.3044868,0.18327409,2491.461539348694,2321.7157827931064,22.212600853467666,3.734256e-05,4956.256793478261,0.07336107336956521,0.2642724662231699,(0.38116776943206787-0.00030765822157263756j),-108.62308,176.83664,-85.63317,33.295185,-32.761562,6.7479444,18.356112,-6.1137576,11.462008,-7.296745,20.915054,-7.742152,-6.7833586,8.051963,-16.875355,10.539156,0.37191355,5.6948256,14.204277,-5.635809,5.963252,-1.0826286,-0.21852674,-2.7563694,-4.3462486,6.294257,-1.5320629,2.880774,-0.98843974,0.63239807,2.4424622,-5.375294,2.8326926,-0.32373714,3.2134893,5.6935654,2.8766878,3.6664274,-4.792798,-1.6519998,107653-9-0-7.wav
0.23179169,0.5340979,0.2615804,1.6330303,0.045044743,1032.6809996325242,1081.4758239719897,21.084460975004127,0.4029054,1492.5942595108695,0.02824105525362319,0.14335007491747173,(0.2541426420211792-0.042449094355106354j),-365.2388,90.273605,-24.431396,-26.591354,-29.055166,-10.224236,-8.875562,-20.396997,-14.282551,-12.845765,-5.8366885,-8.951439,-10.311242,-6.776111,-9.391224,-3.5180998,-1.6534861,1.0050801,2.7219164,0.6876853,2.4085035,-1.6669871,-2.4493315,-2.60997,-2.8605082,0.3975384,-0.901062,-0.83269846,-2.5323758,-2.223307,0.084408835,-1.028396,0.6211433,-0.42753845,1.0352142,3.5816188,1.5397477,1.4935774,-0.22178239,-0.046378538,109711-3-1-0.wav
0.43479514,0.5793005,0.26306647,2.4283493,0.06211698,1695.1270325137275,1933.882074678125,21.53972248402748,4.9285695e-06,2686.4699388586955,0.04318529211956522,0.25915752924494406,(0.3983598053455353+0.004339138045907021j),-285.43164,141.25879,-23.238344,-41.4927,-44.330486,-19.55907,-17.414793,-32.645412,-23.890293,-19.675581,-11.322824,-13.400849,-14.474416,-10.874778,-13.666774,-5.6095514,-1.9352132,1.1769222,3.3936484,0.3028018,1.2585101,-2.2084692,-2.2106864,-2.971333,-3.5432851,1.0015494,-0.47481233,-0.7900378,-2.4008005,-2.1852045,0.3614949,-1.539515,0.025318643,0.025738392,2.299635,4.2864604,1.0540001,2.3812554,1.3829838,0.7350115,109711-3-2-4.wav
0.5017626,0.64432806,0.27457267,1.2774988,0.041068226,1884.5838690992127,2117.732155276808,20.875566766816252,5.538835e-06,3204.2030400815215,0.04961645153985507,0.2640371671915764,(0.3826751112937927+0.0013950506690889597j),-284.71655,135.33107,-24.207264,-36.16929,-39.5162,-15.048752,-17.047976,-29.151161,-18.569294,-20.86301,-12.2673235,-13.695236,-14.472259,-9.422233,-12.508401,-4.4330964,-3.395331,-1.4608642,0.38094145,-3.037653,0.10960694,-3.3045537,-2.8912473,-2.5376644,-2.9708874,1.4850522,-1.0198425,-1.0382105,-2.3477526,-2.0472155,0.47935852,-1.8251373,0.5475033,-0.36239135,0.8005629,3.670752,0.59390974,0.94405764,-0.27115217,0.24163125,109711-3-2-6.wav
